20339.372 20339.623  110
20343.553 20347.960    9
20412.304 20413.054   41
20499.371 20499.358    0
20562.953 20564.143  219
20673.021 20672.668   14
20728.171 20729.859  135
20807.364 20803.671    5
20824.588 20830.495   12
20860.621 20859.871   34
20875.692 20885.483    6
20908.450 20910.685   65
21089.760 21096.527   10
21096.316 21096.889    8
21104.276 21107.104   27
21116.060 21115.653   49
21155.925 21156.307   20
21176.727 21176.387   70
21194.919 21205.938    5
21232.354 21232.494   30
21249.706 21249.481   95
21279.892 21278.218   16
21316.180 21319.652   18
21326.033 21325.914   26
21372.519 21380.238    9
21505.452 21504.638   20
21507.422 21507.196  211
21513.007 21510.804    5
21537.948 21537.098   85
21710.932 21711.408   52
21790.783 21795.718    7
21802.112 21802.515  168
21873.347 21873.690   66
21955.240 21956.036  190
22052.320 22052.412   60
22124.874 22126.160  158
22311.800 22313.651   78
22460.602 22459.926   24
22516.726 22519.211   40
22690.982 22689.823    9
22740.375 22743.555   20
